order_id,order_item_id,product_id,seller_id,price,freight_value
order_000001,1,prod_00068,seller_091,174.3,32.18
order_000001,2,prod_00033,seller_062,466.19,28.54
order_000001,3,prod_00301,seller_058,294.1,24.3
order_000001,4,prod_00110,seller_038,436.39,8.23
order_000002,1,prod_00392,seller_094,47.05,22.24
order_000003,1,prod_00442,seller_095,301.81,39.0
order_000003,2,prod_00193,seller_052,458.76,38.94
order_000003,3,prod_00350,seller_079,201.57,11.86
order_000003,4,prod_00240,seller_071,50.3,25.21
order_000004,1,prod_00158,seller_024,75.45,24.77
order_000005,1,prod_00046,seller_010,376.77,43.75
order_000005,2,prod_00193,seller_100,364.02,36.47
order_000006,1,prod_00301,seller_064,17.04,27.19
order_000006,2,prod_00290,seller_010,88.12,30.62
order_000006,3,prod_00001,seller_063,131.43,37.31
order_000006,4,prod_00302,seller_087,293.99,38.87
order_000006,5,prod_00004,seller_042,79.54,31.87
order_000007,1,prod_00020,seller_033,60.65,7.08
order_000008,1,prod_00229,seller_008,138.31,27.31
order_000008,2,prod_00356,seller_019,269.21,43.09
order_000008,3,prod_00163,seller_032,343.4,10.99
order_000009,1,prod_00007,seller_072,425.03,31.46
order_000010,1,prod_00101,seller_092,189.29,29.01
order_000010,2,prod_00234,seller_080,351.21,5.51
order_000010,3,prod_00250,seller_039,400.1,36.16
order_000011,1,prod_00143,seller_035,245.66,49.26
order_000011,2,prod_00007,seller_028,89.91,42.96
order_000012,1,prod_00458,seller_081,491.46,42.18
order_000012,2,prod_00318,seller_001,237.86,9.38
order_000012,3,prod_00130,seller_059,339.74,13.24
order_000013,1,prod_00221,seller_040,157.15,6.92
order_000014,1,prod_00138,seller_007,453.63,24.66
order_000014,2,prod_00133,seller_002,351.89,34.22
order_000015,1,prod_00077,seller_083,362.8,30.87
order_000015,2,prod_00359,seller_061,274.29,23.96
order_000016,1,prod_00456,seller_022,51.77,7.49
order_000016,2,prod_00246,seller_022,233.14,23.69
order_000016,3,prod_00194,seller_031,427.93,22.2
order_000017,1,prod_00301,seller_006,10.52,27.35
order_000017,2,prod_00399,seller_050,85.03,30.13
order_000017,3,prod_00129,seller_046,54.52,45.55
order_000017,4,prod_00347,seller_041,97.73,30.26
order_000017,5,prod_00102,seller_008,455.36,6.99
order_000018,1,prod_00409,seller_069,231.31,31.5
order_000018,2,prod_00099,seller_014,403.1,17.18
order_000019,1,prod_00124,seller_087,315.44,43.11
order_000020,1,prod_00070,seller_094,137.02,45.97
order_000020,2,prod_00273,seller_081,173.49,19.0
order_000020,3,prod_00181,seller_068,415.76,5.01
order_000021,1,prod_00382,seller_037,183.0,46.3
order_000021,2,prod_00042,seller_017,136.92,27.58
order_000021,3,prod_00017,seller_037,496.69,20.85
order_000021,4,prod_00268,seller_078,249.93,19.61
order_000021,5,prod_00113,seller_043,354.16,42.5
order_000022,1,prod_00315,seller_065,370.97,20.04
order_000022,2,prod_00226,seller_041,363.43,13.15
order_000022,3,prod_00021,seller_020,129.82,21.81
order_000022,4,prod_00238,seller_003,110.01,36.41
order_000023,1,prod_00049,seller_014,433.92,28.51
order_000023,2,prod_00312,seller_045,499.42,48.85
