order_id,payment_sequential,payment_type,payment_installments,payment_value
order_000001,1,voucher,11,298.87
order_000001,2,boleto,4,349.14
order_000002,1,credit_card,11,341.17
order_000002,2,credit_card,4,967.98
order_000003,1,credit_card,8,486.11
order_000004,1,boleto,4,663.5
order_000004,2,boleto,6,28.43
order_000005,1,credit_card,8,518.67
order_000005,2,boleto,7,970.86
order_000006,1,boleto,3,961.66
order_000007,1,credit_card,10,38.08
order_000007,2,boleto,8,475.45
order_000008,1,credit_card,12,22.0
order_000008,2,credit_card,1,336.08
order_000009,1,credit_card,8,134.08
order_000010,1,credit_card,5,533.41
order_000011,1,credit_card,3,212.65
order_000011,2,voucher,5,944.27
order_000012,1,credit_card,11,595.94
order_000012,2,credit_card,1,775.8
order_000013,1,voucher,12,462.88
order_000013,2,credit_card,1,537.68
order_000014,1,credit_card,10,631.82
order_000015,1,credit_card,2,182.53
order_000016,1,boleto,8,237.1
order_000017,1,credit_card,5,304.58
order_000017,2,boleto,10,82.06
order_000018,1,credit_card,6,580.45
order_000019,1,credit_card,3,859.14
order_000019,2,boleto,6,699.72
order_000020,1,credit_card,8,346.88
order_000021,1,boleto,6,716.26
order_000022,1,credit_card,2,566.26
order_000022,2,voucher,2,388.81
order_000023,1,credit_card,5,337.56
order_000023,2,credit_card,10,51.93
order_000024,1,boleto,12,826.57
order_000024,2,credit_card,9,465.94
order_000025,1,boleto,7,40.42
order_000025,2,debit_card,4,576.71
order_000026,1,credit_card,11,584.91
order_000027,1,credit_card,1,137.77
order_000027,2,boleto,11,786.27
order_000028,1,credit_card,11,183.07
order_000029,1,debit_card,6,808.22
order_000029,2,credit_card,12,30.96
order_000030,1,credit_card,10,93.45
order_000031,1,credit_card,2,128.82
order_000031,2,boleto,3,172.61
order_000032,1,credit_card,7,343.44
order_000032,2,credit_card,5,191.39
order_000033,1,boleto,3,166.46
order_000033,2,credit_card,12,214.95
order_000034,1,boleto,8,203.31
order_000034,2,boleto,12,593.24
order_000035,1,credit_card,8,943.4
order_000036,1,credit_card,9,84.66
order_000037,1,boleto,9,936.23
order_000038,1,debit_card,5,765.0
order_000039,1,debit_card,4,426.34
order_000040,1,credit_card,10,956.7
order_000040,2,credit_card,3,36.51
order_000041,1,boleto,11,603.95
order_000041,2,boleto,6,263.86
order_000042,1,credit_card,7,28.25
order_000042,2,credit_card,9,863.18
order_000043,1,credit_card,8,81.84
order_000043,2,credit_card,12,55.22
order_000044,1,credit_card,6,66.11
order_000045,1,credit_card,12,200.83
order_000045,2,credit_card,11,459.36
order_000046,1,boleto,1,733.72
order_000047,1,credit_card,7,174.88
