review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
review_000001,order_000001,2,,Comment message 0,2022-01-04 00:00:00.000000000,2022-01-05 00:00:00.000000000
review_000002,order_000002,2,Title 1,Comment message 1,2022-01-04 05:15:08.101620324,2022-01-05 05:15:08.101620324
review_000003,order_000003,4,,,2022-01-04 10:30:16.203240648,2022-01-05 10:30:16.203240648
review_000004,order_000004,4,Title 3,Comment message 3,2022-01-04 15:45:24.304860972,2022-01-05 15:45:24.304860972
review_000005,order_000005,2,,,2022-01-04 21:00:32.406481296,2022-01-05 21:00:32.406481296
review_000006,order_000006,1,,Comment message 5,2022-01-05 02:15:40.508101620,2022-01-06 02:15:40.508101620
review_000007,order_000007,1,,,2022-01-05 07:30:48.609721944,2022-01-06 07:30:48.609721944
review_000008,order_000008,3,,,2022-01-05 12:45:56.711342268,2022-01-06 12:45:56.711342268
review_000009,order_000009,4,,,2022-01-05 18:01:04.812962592,2022-01-06 18:01:04.812962592
review_000010,order_000010,3,,Comment message 9,2022-01-05 23:16:12.914582916,2022-01-06 23:16:12.914582916
review_000011,order_000011,5,,,2022-01-06 04:31:21.016203240,2022-01-07 04:31:21.016203240
review_000012,order_000012,4,,,2022-01-06 09:46:29.117823564,2022-01-07 09:46:29.117823564
review_000013,order_000013,3,Title 12,Comment message 12,2022-01-06 15:01:37.219443888,2022-01-07 15:01:37.219443888
review_000014,order_000014,2,,,2022-01-06 20:16:45.321064212,2022-01-07 20:16:45.321064212
review_000015,order_000015,1,Title 14,,2022-01-07 01:31:53.422684536,2022-01-08 01:31:53.422684536
review_000016,order_000016,4,,Comment message 15,2022-01-07 06:47:01.524304861,2022-01-08 06:47:01.524304861
review_000017,order_000017,2,Title 16,Comment message 16,2022-01-07 12:02:09.625925185,2022-01-08 12:02:09.625925185
review_000018,order_000018,4,Title 17,,2022-01-07 17:17:17.727545509,2022-01-08 17:17:17.727545509
review_000019,order_000019,3,,,2022-01-07 22:32:25.829165833,2022-01-08 22:32:25.829165833
review_000020,order_000020,2,Title 19,,2022-01-08 03:47:33.930786157,2022-01-09 03:47:33.930786157
review_000021,order_000021,1,,,2022-01-08 09:02:42.032406481,2022-01-09 09:02:42.032406481
review_000022,order_000022,1,Title 21,,2022-01-08 14:17:50.134026805,2022-01-09 14:17:50.134026805
review_000023,order_000023,2,,Comment message 22,2022-01-08 19:32:58.235647129,2022-01-09 19:32:58.235647129
review_000024,order_000024,3,Title 23,,2022-01-09 00:48:06.337267453,2022-01-10 00:48:06.337267453
review_000025,order_000025,2,Title 24,,2022-01-09 06:03:14.438887777,2022-01-10 06:03:14.438887777
review_000026,order_000026,5,Title 25,,2022-01-09 11:18:22.540508101,2022-01-10 11:18:22.540508101
review_000027,order_000027,2,Title 26,,2022-01-09 16:33:30.642128425,2022-01-10 16:33:30.642128425
review_000028,order_000028,5,,,2022-01-09 21:48:38.743748749,2022-01-10 21:48:38.743748749
review_000029,order_000029,5,,,2022-01-10 03:03:46.845369073,2022-01-11 03:03:46.845369073
review_000030,order_000030,2,,,2022-01-10 08:18:54.946989397,2022-01-11 08:18:54.946989397
review_000031,order_000031,3,,,2022-01-10 13:34:03.048609722,2022-01-11 13:34:03.048609722
review_000032,order_000032,3,Title 31,,2022-01-10 18:49:11.150230046,2022-01-11 18:49:11.150230046
review_000033,order_000033,3,,,2022-01-11 00:04:19.251850370,2022-01-12 00:04:19.251850370
review_000034,order_000034,3,,,2022-01-11 05:19:27.353470694,2022-01-12 05:19:27.353470694
review_000035,order_000035,5,,Comment message 34,2022-01-11 10:34:35.455091018,2022-01-12 10:34:35.455091018
review_000036,order_000036,5,Title 35,,2022-01-11 15:49:43.556711342,2022-01-12 15:49:43.556711342
review_000037,order_000037,4,Title 36,,2022-01-11 21:04:51.658331666,2022-01-12 21:04:51.658331666
review_000038,order_000038,3,,Comment message 37,2022-01-12 02:19:59.759951990,2022-01-13 02:19:59.759951990
review_000039,order_000039,3,,,2022-01-12 07:35:07.861572314,2022-01-13 07:35:07.861572314
review_000040,order_000040,5,,,2022-01-12 12:50:15.963192638,2022-01-13 12:50:15.963192638
review_000041,order_000041,5,,,2022-01-12 18:05:24.064812962,2022-01-13 18:05:24.064812962
review_000042,order_000042,1,Title 41,,2022-01-12 23:20:32.166433286,2022-01-13 23:20:32.166433286
review_000043,order_000043,1,,Comment message 42,2022-01-13 04:35:40.268053610,2022-01-14 04:35:40.268053610
review_000044,order_000044,2,,Comment message 43,2022-01-13 09:50:48.369673934,2022-01-14 09:50:48.369673934
review_000045,order_000045,2,,,2022-01-13 15:05:56.471294258,2022-01-14 15:05:56.471294258
review_000046,order_000046,5,Title 45,,2022-01-13 20:21:04.572914583,2022-01-14 20:21:04.572914583
review_000047,order_000047,2,Title 46,,2022-01-14 01:36:12.674534907,2022-01-15 01:36:12.674534907
review_000048,order_000048,1,,,2022-01-14 06:51:20.776155231,2022-01-15 06:51:20.776155231
review_000049,order_000049,3,,,2022-01-14 12:06:28.877775555,2022-01-15 12:06:28.877775555
review_000050,order_000050,5,,,2022-01-14 17:21:36.979395879,2022-01-15 17:21:36.979395879
review_000051,order_000051,4,,,2022-01-14 22:36:45.081016203,2022-01-15 22:36:45.081016203
review_000052,order_000052,2,,,2022-01-15 03:51:53.182636527,2022-01-16 03:51:53.182636527
review_000053,order_000053,1,Title 52,Comment message 52,2022-01-15 09:07:01.284256851,2022-01-16 09:07:01.284256851
review_000054,order_000054,2,,Comment message 53,2022-01-15 14:22:09.385877175,2022-01-16 14:22:09.385877175
review_000055,order_000055,4,Title 54,,2022-01-15 19:37:17.487497499,2022-01-16 19:37:17.487497499
review_000056,order_000056,5,Title 55,,2022-01-16 00:52:25.589117823,2022-01-17 00:52:25.589117823
review_000057,order_000057,1,,Comment message 56,2022-01-16 06:07:33.690738147,2022-01-17 06:07:33.690738147
review_000058,order_000058,4,Title 57,,2022-01-16 11:22:41.792358471,2022-01-17 11:22:41.792358471
review_000059,order_000059,4,,,2022-01-16 16:37:49.893978795,2022-01-17 16:37:49.893978795
review_000060,order_000060,3,,,2022-01-16 21:52:57.995599119,2022-01-17 21:52:57.995599119
review_000061,order_000061,1,Title 60,,2022-01-17 03:08:06.097219444,2022-01-18 03:08:06.097219444
review_000062,order_000062,2,Title 61,,2022-01-17 08:23:14.198839768,2022-01-18 08:23:14.198839768
review_000063,order_000063,5,Title 62,Comment message 62,2022-01-17 13:38:22.300460092,2022-01-18 13:38:22.300460092
review_000064,order_000064,3,Title 63,,2022-01-17 18:53:30.402080416,2022-01-18 18:53:30.402080416
review_000065,order_000065,2,,Comment message 64,2022-01-18 00:08:38.503700740,2022-01-19 00:08:38.503700740
review_000066,order_000066,4,,Comment message 65,2022-01-18 05:23:46.605321064,2022-01-19 05:23:46.605321064
review_000067,order_000067,1,,,2022-01-18 10:38:54.706941388,2022-01-19 10:38:54.706941388
review_000068,order_000068,5,,,2022-01-18 15:54:02.808561712,2022-01-19 15:54:02.808561712
review_000069,order_000069,2,,,2022-01-18 21:09:10.910182036,2022-01-19 21:09:10.910182036
review_000070,order_000070,1,,Comment message 69,2022-01-19 02:24:19.011802360,2022-01-20 02:24:19.011802360
review_000071,order_000071,2,,,2022-01-19 07:39:27.113422684,2022-01-20 07:39:27.113422684
review_000072,order_000072,1,Title 71,,2022-01-19 12:54:35.215043008,2022-01-20 12:54:35.215043008
review_000073,order_000073,1,,,2022-01-19 18:09:43.316663332,2022-01-20 18:09:43.316663332
review_000074,order_000074,1,Title 73,,2022-01-19 23:24:51.418283656,2022-01-20 23:24:51.418283656
review_000075,order_000075,2,Title 74,,2022-01-20 04:39:59.519903981,2022-01-21 04:39:59.519903981
review_000076,order_000076,2,Title 75,Comment message 75,2022-01-20 09:55:07.621524305,2022-01-21 09:55:07.621524305
review_000077,order_000077,4,Title 76,Comment message 76,2022-01-20 15:10:15.723144629,2022-01-21 15:10:15.723144629
review_000078,order_000078,4,Title 77,Comment message 77,2022-01-20 20:25:23.824764953,2022-01-21 20:25:23.824764953
review_000079,order_000079,5,Title 78,Comment message 78,2022-01-21 01:40:31.926385277,2022-01-22 01:40:31.926385277
