order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
order_000001,cust_00705,delivered,2022-01-01 00:00:00.000000000,2022-01-01 00:00:00.000000000,2022-01-02 00:00:00.000000000,2022-01-03 00:00:00.000000000,2022-01-10 00:00:00.000000000
order_000002,cust_00264,delivered,2022-01-01 05:15:25.385077015,2022-01-01 05:15:25.385077015,2022-01-02 05:15:08.101620324,2022-01-03 05:15:08.101620324,2022-01-10 05:15:42.668533706
order_000003,cust_00143,shipped,2022-01-01 10:30:50.770154030,2022-01-01 10:30:50.770154030,2022-01-02 10:30:16.203240648,2022-01-03 10:30:16.203240648,2022-01-10 10:31:25.337067413
order_000004,cust_00842,delivered,2022-01-01 15:46:16.155231046,2022-01-01 15:46:16.155231046,2022-01-02 15:45:24.304860972,2022-01-03 15:45:24.304860972,2022-01-10 15:47:08.005601120
order_000005,cust_00020,processing,2022-01-01 21:01:41.540308061,2022-01-01 21:01:41.540308061,2022-01-02 21:00:32.406481296,2022-01-03 21:00:32.406481296,2022-01-10 21:02:50.674134826
order_000006,cust_00408,delivered,2022-01-02 02:17:06.925385077,2022-01-02 02:17:06.925385077,2022-01-03 02:15:40.508101620,2022-01-04 02:15:40.508101620,2022-01-11 02:18:33.342668533
order_000007,cust_00154,delivered,2022-01-02 07:32:32.310462092,2022-01-02 07:32:32.310462092,2022-01-03 07:30:48.609721944,2022-01-04 07:30:48.609721944,2022-01-11 07:34:16.011202240
order_000008,cust_00849,delivered,2022-01-02 12:47:57.695539107,2022-01-02 12:47:57.695539107,2022-01-03 12:45:56.711342268,2022-01-04 12:45:56.711342268,2022-01-11 12:49:58.679735947
order_000009,cust_00649,delivered,2022-01-02 18:03:23.080616123,2022-01-02 18:03:23.080616123,2022-01-03 18:01:04.812962592,2022-01-04 18:01:04.812962592,2022-01-11 18:05:41.348269653
order_000010,cust_00480,delivered,2022-01-02 23:18:48.465693138,2022-01-02 23:18:48.465693138,2022-01-03 23:16:12.914582916,2022-01-04 23:16:12.914582916,2022-01-11 23:21:24.016803360
order_000011,cust_00267,delivered,2022-01-03 04:34:13.850770154,2022-01-03 04:34:13.850770154,2022-01-04 04:31:21.016203240,2022-01-05 04:31:21.016203240,2022-01-12 04:37:06.685337067
order_000012,cust_00354,delivered,2022-01-03 09:49:39.235847169,2022-01-03 09:49:39.235847169,2022-01-04 09:46:29.117823564,2022-01-05 09:46:29.117823564,2022-01-12 09:52:49.353870774
order_000013,cust_00856,delivered,2022-01-03 15:05:04.620924184,2022-01-03 15:05:04.620924184,2022-01-04 15:01:37.219443888,2022-01-05 15:01:37.219443888,2022-01-12 15:08:32.022404480
order_000014,cust_00396,delivered,2022-01-03 20:20:30.006001200,2022-01-03 20:20:30.006001200,2022-01-04 20:16:45.321064212,2022-01-05 20:16:45.321064212,2022-01-12 20:24:14.690938187
order_000015,cust_00370,shipped,2022-01-04 01:35:55.391078215,2022-01-04 01:35:55.391078215,2022-01-05 01:31:53.422684536,2022-01-06 01:31:53.422684536,2022-01-13 01:39:57.359471894
order_000016,cust_00348,delivered,2022-01-04 06:51:20.776155231,2022-01-04 06:51:20.776155231,2022-01-05 06:47:01.524304861,2022-01-06 06:47:01.524304861,2022-01-13 06:55:40.028005601
order_000017,cust_00132,delivered,2022-01-04 12:06:46.161232246,2022-01-04 12:06:46.161232246,2022-01-05 12:02:09.625925185,2022-01-06 12:02:09.625925185,2022-01-13 12:11:22.696539307
order_000018,cust_00242,delivered,2022-01-04 17:22:11.546309261,2022-01-04 17:22:11.546309261,2022-01-05 17:17:17.727545509,2022-01-06 17:17:17.727545509,2022-01-13 17:27:05.365073014
order_000019,cust_00039,delivered,2022-01-04 22:37:36.931386277,2022-01-04 22:37:36.931386277,2022-01-05 22:32:25.829165833,2022-01-06 22:32:25.829165833,2022-01-13 22:42:48.033606721
order_000020,cust_00739,delivered,2022-01-05 03:53:02.316463292,2022-01-05 03:53:02.316463292,2022-01-06 03:47:33.930786157,2022-01-07 03:47:33.930786157,2022-01-14 03:58:30.702140428
order_000021,cust_00389,delivered,2022-01-05 09:08:27.701540308,2022-01-05 09:08:27.701540308,2022-01-06 09:02:42.032406481,2022-01-07 09:02:42.032406481,2022-01-14 09:14:13.370674134
order_000022,cust_00435,delivered,2022-01-05 14:23:53.086617323,2022-01-05 14:23:53.086617323,2022-01-06 14:17:50.134026805,2022-01-07 14:17:50.134026805,2022-01-14 14:29:56.039207841
order_000023,cust_00932,delivered,2022-01-05 19:39:18.471694338,2022-01-05 19:39:18.471694338,2022-01-06 19:32:58.235647129,2022-01-07 19:32:58.235647129,2022-01-14 19:45:38.707741548
order_000024,cust_00742,delivered,2022-01-06 00:54:43.856771354,2022-01-06 00:54:43.856771354,2022-01-07 00:48:06.337267453,2022-01-08 00:48:06.337267453,2022-01-15 01:01:21.376275255
order_000025,cust_00246,delivered,2022-01-06 06:10:09.241848369,2022-01-06 06:10:09.241848369,2022-01-07 06:03:14.438887777,2022-01-08 06:03:14.438887777,2022-01-15 06:17:04.044808961
order_000026,cust_00967,delivered,2022-01-06 11:25:34.626925385,2022-01-06 11:25:34.626925385,2022-01-07 11:18:22.540508101,2022-01-08 11:18:22.540508101,2022-01-15 11:32:46.713342668
order_000027,cust_00142,processing,2022-01-06 16:41:00.012002400,2022-01-06 16:41:00.012002400,2022-01-07 16:33:30.642128425,2022-01-08 16:33:30.642128425,2022-01-15 16:48:29.381876375
order_000028,cust_00739,delivered,2022-01-06 21:56:25.397079415,2022-01-06 21:56:25.397079415,2022-01-07 21:48:38.743748749,2022-01-08 21:48:38.743748749,2022-01-15 22:04:12.050410082
order_000029,cust_00581,canceled,2022-01-07 03:11:50.782156431,2022-01-07 03:11:50.782156431,2022-01-08 03:03:46.845369073,2022-01-09 03:03:46.845369073,2022-01-16 03:19:54.718943788
order_000030,cust_00785,processing,2022-01-07 08:27:16.167233446,2022-01-07 08:27:16.167233446,2022-01-08 08:18:54.946989397,2022-01-09 08:18:54.946989397,2022-01-16 08:35:37.387477495
order_000031,cust_00424,delivered,2022-01-07 13:42:41.552310462,2022-01-07 13:42:41.552310462,2022-01-08 13:34:03.048609722,2022-01-09 13:34:03.048609722,2022-01-16 13:51:20.056011202
order_000032,cust_00803,shipped,2022-01-07 18:58:06.937387477,2022-01-07 18:58:06.937387477,2022-01-08 18:49:11.150230046,2022-01-09 18:49:11.150230046,2022-01-16 19:07:02.724544909
order_000033,cust_00116,delivered,2022-01-08 00:13:32.322464492,2022-01-08 00:13:32.322464492,2022-01-09 00:04:19.251850370,2022-01-10 00:04:19.251850370,2022-01-17 00:22:45.393078615
order_000034,cust_00567,delivered,2022-01-08 05:28:57.707541508,2022-01-08 05:28:57.707541508,2022-01-09 05:19:27.353470694,2022-01-10 05:19:27.353470694,2022-01-17 05:38:28.061612322
order_000035,cust_00368,delivered,2022-01-08 10:44:23.092618523,2022-01-08 10:44:23.092618523,2022-01-09 10:34:35.455091018,2022-01-10 10:34:35.455091018,2022-01-17 10:54:10.730146029
order_000036,cust_00346,delivered,2022-01-08 15:59:48.477695539,2022-01-08 15:59:48.477695539,2022-01-09 15:49:43.556711342,2022-01-10 15:49:43.556711342,2022-01-17 16:09:53.398679736
order_000037,cust_00084,canceled,2022-01-08 21:15:13.862772554,2022-01-08 21:15:13.862772554,2022-01-09 21:04:51.658331666,2022-01-10 21:04:51.658331666,2022-01-17 21:25:36.067213442
order_000038,cust_00714,delivered,2022-01-09 02:30:39.247849569,2022-01-09 02:30:39.247849569,2022-01-10 02:19:59.759951990,2022-01-11 02:19:59.759951990,2022-01-18 02:41:18.735747149
order_000039,cust_00122,delivered,2022-01-09 07:46:04.632926585,2022-01-09 07:46:04.632926585,2022-01-10 07:35:07.861572314,2022-01-11 07:35:07.861572314,2022-01-18 07:57:01.404280856
order_000040,cust_00093,delivered,2022-01-09 13:01:30.018003600,2022-01-09 13:01:30.018003600,2022-01-10 12:50:15.963192638,2022-01-11 12:50:15.963192638,2022-01-18 13:12:44.072814563
order_000041,cust_00891,delivered,2022-01-09 18:16:55.403080616,2022-01-09 18:16:55.403080616,2022-01-10 18:05:24.064812962,2022-01-11 18:05:24.064812962,2022-01-18 18:28:26.741348269
order_000042,cust_00482,delivered,2022-01-09 23:32:20.788157631,2022-01-09 23:32:20.788157631,2022-01-10 23:20:32.166433286,2022-01-11 23:20:32.166433286,2022-01-18 23:44:09.409881976
order_000043,cust_00767,delivered,2022-01-10 04:47:46.173234646,2022-01-10 04:47:46.173234646,2022-01-11 04:35:40.268053610,2022-01-12 04:35:40.268053610,2022-01-19 04:59:52.078415683
order_000044,cust_00911,delivered,2022-01-10 10:03:11.558311662,2022-01-10 10:03:11.558311662,2022-01-11 09:50:48.369673934,2022-01-12 09:50:48.369673934,2022-01-19 10:15:34.746949389
order_000045,cust_00306,canceled,2022-01-10 15:18:36.943388677,2022-01-10 15:18:36.943388677,2022-01-11 15:05:56.471294258,2022-01-12 15:05:56.471294258,2022-01-19 15:31:17.415483096
order_000046,cust_00306,delivered,2022-01-10 20:34:02.328465693,2022-01-10 20:34:02.328465693,2022-01-11 20:21:04.572914583,2022-01-12 20:21:04.572914583,2022-01-19 20:47:00.084016803
order_000047,cust_00562,canceled,2022-01-11 01:49:27.713542708,2022-01-11 01:49:27.713542708,2022-01-12 01:36:12.674534907,2022-01-13 01:36:12.674534907,2022-01-20 02:02:42.752550510
order_000048,cust_00297,delivered,2022-01-11 07:04:53.098619723,2022-01-11 07:04:53.098619723,2022-01-12 06:51:20.776155231,2022-01-13 06:51:20.776155231,2022-01-20 07:18:25.421084216
order_000049,cust_00019,delivered,2022-01-11 12:20:18.483696739,2022-01-11 12:20:18.483696739,2022-01-12 12:06:28.877775555,2022-01-13 12:06:28.877775555,2022-01-20 12:34:08.089617923
order_000050,cust_00900,delivered,2022-01-11 17:35:43.868773754,2022-01-11 17:35:43.868773754,2022-01-12 17:21:36.979395879,2022-01-13 17:21:36.979395879,2022-01-20 17:49:50.758151630
order_000051,cust_00023,canceled,2022-01-11 22:51:09.253850770,2022-01-11 22:51:09.253850770,2022-01-12 22:36:45.081016203,2022-01-13 22:36:45.081016203,2022-01-20 23:05:33.426685337
